359294	1696	1	116674	116674
359316	1696	1	132770	132770
359317	1696	1	192210	192210
359319	1696	1	77599	77599
359320	1696	1	62185	62185
359321	1696	1	164441	164441
359322	1413	0	162916	162916
359323	1413	0	87959	87959
359518	1696	1	90914	90914
359519	1696	1	65686	65686
359523	1696	1	54239	54239
359534	1413	0	42341	42341
359535	1413	0	56672	56672
359536	30	0	3136204	3136202
359551	2262	3	244445	244445
359554	1696	1	254751	254751
359556	1413	0	274640	274639
359570	2262	3	151081	151081
359575	1696	1	285695	285695
359697	2262	3	151407	151407
359699	1696	1	159301	159301
359703	1696	1	241476	241476
359704	1413	0	267113	267113
359705	1413	0	86337	86337
359706	200	0	1652407	1652407
359707	200	0	1551665	1551664
359708	200	0	1251821	1251820
359746	2262	3	255610	255610
359760	1413	0	298072	298071
359762	1413	0	120637	120636
359763	200	0	832267	832266
359764	200	0	1786540	1786539
359793	2262	3	228399	228399
359795	1696	1	261790	261790
359796	1413	0	142591	142590
359797	1413	0	260100	260100
359798	200	0	1650698	1650697
359799	200	0	574511	574510
359800	200	0	814233	814233
359801	55	0	2344556	2344554
359803	55	0	405142	405136
359916	1696	1	130501	130501
359917	1696	1	233021	233021
359921	1696	1	261660	261660
359923	1413	0	290470	290469
359924	1413	0	53168	53168
359926	1413	0	33936	228522
359927	200	0	727174	727170
359934	1696	1	56056	56056
359936	1696	1	43625	43621
359939	1413	0	293140	293140
359940	1413	0	80645	80644
359945	200	0	762487	762481
359946	200	0	1666447	1666446
359948	200	0	1079372	1079370
359954	55	0	3853116	3853113
359989	1696	1	333541	333541
359990	1696	1	290818	290818
359991	1696	1	124422	124421
359995	1413	0	288598	288598
359996	1413	0	268111	268111
359999	1413	0	190449	190449
360000	1413	0	118486	118486
360003	200	0	150562	150562
360297	2828	3	38197	38197
360299	2828	3	148625	148625
360300	2828	3	255961	255961
360301	2262	3	193397	193397
360303	2262	3	250229	250229
360304	2262	3	196108	196108
360312	1696	1	263194	263193
360370	2262	3	291078	291078
360371	2262	3	106391	106391
360372	1696	1	160582	160582
360381	1696	1	261998	261998
360382	1696	1	176168	176168
360383	1696	1	54562	74681
360385	200	0	1816515	1816515
360386	200	0	760095	760094
360439	2828	3	65217	65217
360440	2262	3	320516	320516
360442	2262	3	88143	88143
360443	2262	3	159688	159688
360446	1696	1	81532	81532
360447	1696	1	101612	101612
360448	1696	1	277758	277758
360450	1696	1	140032	140032
360457	1413	0	266880	266880
360458	200	0	193720	193719
360460	200	0	1702756	1702756
360473	1696	1	45723	45722
360474	1696	1	246328	246327
360502	2828	3	91964	91964
360513	1696	1	124726	124726
360514	1696	1	266797	266797
360518	1413	0	284062	284061
360519	1413	0	24791	24791
360521	1413	0	102642	102641
360640	1413	0	227875	227875
360646	1696	1	309398	309398
360647	1413	0	306847	306847
360650	200	0	1715557	1715555
360653	200	0	1432462	1432461
360656	30	0	7374314	7374310
360658	30	0	2835101	2835099
360818	2262	3	91706	91706
360819	2262	3	200165	200165
360848	2262	2	305760	305760
360849	2262	2	267780	267780
360853	1696	0	293424	293424
360854	1696	0	272951	272950
360855	1696	0	45528	45528
360856	1413	0	104137	104137
360861	1413	0	252325	252325
360921	1696	0	322011	322010
360922	1696	0	233796	233796
360924	1696	0	65750	65749
360925	1696	0	267930	267929
360926	1696	0	255089	255088
360929	200	0	1874578	1874577
360930	200	0	561368	561365
360934	200	0	534271	534270
360994	2828	3	61355	61355
360996	2828	3	22826	22826
360999	2262	2	56917	56916
361000	2262	2	299539	299539
361003	2262	2	257463	257462
361004	1696	0	144777	144777
361008	1696	0	174247	174247
361012	1696	0	255588	255587
361076	1696	0	340521	340521
361077	1696	0	47567	47567
361078	1696	0	305963	305962
361079	1696	0	272418	272418
361080	1413	0	305785	305784
361081	1413	0	149461	149461
361083	1413	0	271964	271963
361084	200	0	1786409	1786408
361085	200	0	879667	879667
361088	200	0	1396501	1396495
361193	2262	1	32197	32196
361195	2262	1	77129	77129
361196	2262	1	67789	67788
361201	1696	0	296527	296527
361202	1696	0	277308	277308
361203	1696	0	60590	60589
361207	1413	0	255868	255868
361239	2262	1	21391	21391
361240	2262	1	46765	46764
361564	2262	1	74004	74004
361569	1696	0	67580	67580
361570	1696	0	115853	115852
361644	2262	1	123547	123547
361645	2262	1	141208	141207
361647	1696	0	292167	292167
361648	1696	0	71346	71344
361650	1413	0	129663	129662
361742	2262	1	308807	308807
361743	2262	1	33891	33891
361753	2262	1	132452	132452
361756	2262	1	29321	29321
361757	2262	1	275638	275638
361758	2262	1	113900	113900
361760	2262	1	22958	22958
361762	2262	1	233191	233191
361764	1696	0	286079	286079
361770	1696	0	251565	251564
361772	1413	0	54793	54793
361904	2262	1	33252	33252
361906	2262	1	157372	157372
361909	1696	0	201856	201856
361914	1696	0	66926	66926
361918	1696	0	284683	284683
361919	1696	0	284683	131114
361922	1696	0	132986	132985
361924	1413	0	98188	98187
361944	1413	0	103698	103697
361945	2262	1	103198	103198
361946	2262	1	44446	44446
361964	1696	0	213127	213127
361965	1696	0	236528	236528
361967	1413	0	320057	320057
361969	1413	0	288398	288397
361971	200	0	1575107	1575106
362050	2262	1	267698	267698
362052	1696	0	137991	137991
362083	1413	0	275272	275272
362085	1413	0	54246	54246
362142	1696	0	24134	24134
362149	1696	0	226745	226745
362153	1413	0	266084	266084
362154	1413	0	282025	282025
362155	200	0	589139	589139
362158	200	0	1681139	1681138
362159	200	0	814504	814504
362212	2262	1	36053	36053
362213	2262	1	288675	288674
362215	1696	0	43137	43136
362220	1413	0	32246	32245
362222	1413	0	322107	322106
362224	1413	0	287395	287394
362226	1413	0	279621	279620
362227	1413	0	67649	67649
362297	2262	0	215104	270257
362300	1696	0	120586	120585
362301	1413	0	95714	95712
362303	1413	0	98083	98423
362304	1413	0	167855	167855
362305	1413	0	150504	150502
362308	100	0	2044582	2044582
362309	100	0	2566992	2566985
362400	1696	0	297224	297224
362402	100	0	3603537	3603537
362405	100	0	3597681	3597679
362406	45	0	2094149	2094149
362407	45	0	6885107	6885097
362409	45	0	1468403	1468398
362486	75	0	5388158	5388155
362490	75	0	887299	887296
362496	2262	0	30175	30175
362498	2828	3	151653	151652
362500	1696	0	299962	299962
362501	1696	0	245292	245291
362503	1696	0	221202	221202
